user_id,group,adopted,reengaged,converted
123,control,0,0,0
124,control,0,0,0
125,control,0,0,0
126,control,0,0,0
127,treatment,0,0,0
128,treatment,1,0,0
129,control,0,0,0
130,treatment,0,1,0
131,control,1,0,0
132,control,0,0,0
133,control,0,0,0
134,control,0,1,0
135,treatment,0,1,0
136,control,0,0,0
137,treatment,0,0,0
138,treatment,0,0,0
139,control,0,0,0
140,treatment,0,0,0
141,treatment,0,0,0
142,control,0,0,0
143,control,0,0,0
144,control,0,0,0
145,control,0,1,0
146,control,0,1,0
147,treatment,1,0,0
148,treatment,0,0,0
149,control,0,0,0
150,control,0,0,0
151,treatment,1,0,0
152,control,0,0,0
153,control,0,0,0
154,control,0,0,0
155,treatment,1,0,1
156,control,0,0,0
157,treatment,0,0,0
158,treatment,0,0,0
159,control,0,0,0
160,treatment,1,0,0
161,control,0,0,0
162,treatment,0,0,0
163,treatment,0,0,0
164,treatment,0,0,0
165,control,0,0,0
166,treatment,0,0,0
167,control,0,0,0
168,control,0,0,0
169,control,0,0,0
170,treatment,0,0,0
171,treatment,0,0,0
172,control,0,0,0
173,treatment,0,0,0
174,control,0,1,0
175,treatment,0,0,0
176,control,0,0,0
177,treatment,1,0,0
178,control,0,0,0
179,treatment,0,0,0
180,control,0,0,0
181,control,0,0,0
182,control,0,0,0
183,treatment,0,0,0
184,treatment,0,0,0
185,control,0,0,0
186,treatment,0,0,0
187,treatment,1,0,0
188,treatment,1,0,0
189,treatment,0,0,0
190,control,0,0,0
191,control,0,0,0
192,treatment,0,1,0
193,treatment,0,0,0
194,treatment,1,0,0
195,control,0,0,0
196,control,0,0,0
197,treatment,0,0,0
198,treatment,1,0,0
199,treatment,0,0,0
200,treatment,0,1,0
201,treatment,0,0,0
202,control,0,0,0
203,control,0,1,0
204,treatment,0,0,0
205,treatment,0,0,0
206,control,0,0,0
207,control,0,0,0
208,treatment,0,0,0
209,control,0,0,0
210,control,0,0,0
211,treatment,1,0,0
212,treatment,0,0,0
213,treatment,0,0,0
214,control,0,1,0
215,treatment,1,0,0
216,control,0,0,0
217,control,0,0,0
218,treatment,0,1,0
219,treatment,0,0,0
220,treatment,0,0,0
221,treatment,0,0,0
222,treatment,0,0,0
223,control,1,0,0
224,control,0,0,0
225,control,0,0,0
226,control,0,0,0
227,treatment,0,0,0
228,control,0,0,0
229,treatment,0,0,0
230,treatment,0,0,0
231,treatment,0,1,0
232,treatment,0,0,0
233,treatment,1,0,0
234,control,0,0,0
235,control,0,0,0
236,treatment,0,1,0
237,control,0,0,0
238,control,0,0,0
239,treatment,1,0,0
240,control,0,0,0
241,treatment,0,0,0
242,treatment,0,1,0
243,treatment,0,0,0
244,control,0,0,0
245,control,0,0,0
246,treatment,1,0,0
247,control,0,0,0
248,treatment,1,0,1
249,treatment,1,0,0
250,treatment,0,0,0
251,control,0,0,0
252,control,0,0,0
253,treatment,0,0,0
254,control,0,0,0
255,control,0,0,0
256,treatment,0,0,0
257,treatment,0,0,0
258,treatment,0,0,0
259,treatment,1,0,0
260,control,0,0,0
261,treatment,0,1,0
262,treatment,0,0,0
263,control,0,0,0
264,treatment,1,0,0
265,treatment,1,0,0
266,treatment,0,0,0
267,treatment,0,1,0
268,treatment,0,0,0
269,control,0,0,0
270,control,0,0,0
271,treatment,0,0,0
272,treatment,0,0,0
273,treatment,1,0,0
274,treatment,0,1,0
275,treatment,1,0,0
276,treatment,0,0,0
277,treatment,0,0,0
278,treatment,1,0,0
279,treatment,0,1,0
280,treatment,0,0,0
281,treatment,0,0,0
282,control,0,0,0
283,control,0,0,0
284,control,0,0,0
285,treatment,0,1,0
286,control,0,0,0
287,control,0,0,0
288,treatment,0,0,0
289,control,0,1,0
290,treatment,0,0,0
291,control,0,0,0
292,control,0,0,0
293,treatment,0,0,0
294,control,0,0,0
295,control,0,0,0
296,treatment,1,0,0
297,treatment,1,0,1
298,control,0,0,0
299,treatment,0,1,0
300,control,0,0,0
301,control,0,0,0
302,treatment,1,0,0
303,treatment,0,0,0
304,treatment,1,0,0
305,treatment,0,0,0
306,treatment,0,0,0
307,treatment,1,0,0
308,control,0,0,0
309,treatment,1,0,0
310,control,0,1,0
311,control,1,0,0
312,control,0,0,0
313,control,1,0,0
314,treatment,0,0,0
315,treatment,0,1,0
316,treatment,0,1,0
317,control,0,0,0
318,control,0,1,0
319,control,0,0,0
320,control,0,0,0
321,treatment,0,0,0
322,treatment,0,0,0
323,treatment,1,0,0
324,control,0,0,0
325,treatment,0,0,0
326,treatment,0,0,0
327,treatment,0,1,0
328,treatment,0,0,0
329,control,0,1,0
330,control,0,0,0
331,control,0,0,0
332,treatment,0,0,0
333,control,0,0,0
334,control,0,0,0
335,control,0,0,0
336,control,0,0,0
337,treatment,0,1,0
338,treatment,0,0,0
339,control,0,0,0
340,control,0,0,0
341,control,0,0,0
342,control,0,0,0
343,control,0,0,0
344,control,0,0,0
345,control,0,0,0
346,treatment,0,0,0
347,treatment,0,1,0
348,control,0,0,0
349,control,0,0,0
350,treatment,0,0,0
351,treatment,0,0,0
352,treatment,0,0,0
353,treatment,0,0,0
354,control,0,0,0
355,control,0,0,0
356,treatment,0,1,0
357,control,0,0,0
358,treatment,0,0,0
359,treatment,0,0,0
360,treatment,0,0,0
361,control,0,0,0
362,treatment,1,0,0
363,control,1,0,0
364,treatment,1,0,0
365,treatment,0,0,0
366,control,0,0,0
367,treatment,1,0,0
368,treatment,0,0,0
369,control,0,0,0
370,control,0,0,0
371,control,0,0,0
372,control,0,0,0
373,control,0,1,0
374,treatment,0,0,0
375,control,1,0,0
376,control,0,0,0
377,treatment,0,0,0
378,control,0,0,0
379,treatment,1,0,0
380,control,0,0,0
381,control,0,1,0
382,treatment,0,0,0
383,treatment,0,0,0
384,treatment,1,0,0
385,treatment,1,0,0
386,treatment,0,0,0
387,control,0,0,0
388,control,1,0,0
389,treatment,1,0,0
390,treatment,1,0,0
391,treatment,1,0,0
392,control,0,0,0
393,control,0,0,0
394,treatment,0,0,0
395,control,0,0,0
396,treatment,0,0,0
397,treatment,0,0,0
398,control,0,0,0
399,treatment,0,0,0
400,treatment,0,0,0
401,control,0,0,0
402,treatment,0,1,0
403,treatment,0,0,0
404,treatment,0,0,0
405,control,1,0,1
406,treatment,0,0,0
407,control,0,0,0
408,control,0,1,0
409,treatment,0,1,0
410,control,0,0,0
411,control,0,0,0
412,treatment,1,0,0
413,treatment,0,0,0
414,treatment,0,1,0
415,treatment,1,0,0
416,control,0,0,0
417,control,0,0,0
418,control,0,0,0
419,treatment,0,1,0
420,treatment,0,0,0
421,treatment,0,0,0
422,treatment,0,0,0
423,control,0,0,0
424,control,0,0,0
425,control,0,1,0
426,treatment,1,0,0
427,control,0,0,0
428,treatment,1,0,0
429,control,0,0,0
430,control,0,0,0
431,control,0,0,0
432,treatment,0,0,0
433,treatment,0,1,0
434,control,0,0,0
435,control,0,0,0
436,treatment,0,1,0
437,control,0,0,0
438,treatment,0,0,0
439,treatment,0,1,0
440,control,0,0,0
441,control,0,0,0
442,treatment,1,0,0
443,control,0,0,0
444,control,1,0,0
445,treatment,0,0,0
446,treatment,0,0,0
447,treatment,0,0,0
448,treatment,0,0,0
449,control,0,0,0
450,control,1,0,0
451,treatment,0,0,0
452,treatment,1,0,0
453,control,0,0,0
454,treatment,1,0,0
455,control,0,0,0
456,control,0,0,0
457,control,0,0,0
458,control,0,0,0
459,control,0,0,0
460,control,0,0,0
461,control,0,0,0
462,treatment,0,0,0
463,treatment,1,0,1
464,treatment,1,0,0
465,treatment,0,0,0
466,control,0,1,0
467,control,0,0,0
468,treatment,0,1,0
469,control,0,0,0
470,treatment,0,0,0
471,control,0,0,0
472,treatment,1,0,0
473,control,0,0,0
474,treatment,0,1,0
475,treatment,0,0,0
476,treatment,0,0,0
477,control,0,0,0
478,treatment,0,0,0
479,treatment,0,1,0
480,treatment,0,0,0
481,treatment,0,0,0
482,treatment,0,0,0
483,control,0,1,0
484,treatment,0,0,0
485,treatment,0,0,0
486,treatment,1,0,0
487,control,0,0,0
488,control,0,0,0
489,treatment,0,0,0
490,treatment,0,0,0
491,control,0,0,0
492,treatment,0,0,0
493,control,0,0,0
494,control,0,0,0
495,control,0,0,0
496,control,0,0,0
497,treatment,0,0,0
498,control,0,0,0
499,treatment,0,1,0
500,treatment,0,1,0
501,treatment,0,0,0
502,treatment,0,0,0
503,control,0,0,0
504,treatment,0,0,0
505,treatment,1,0,1
506,control,0,0,0
507,treatment,0,1,0
508,treatment,0,0,0
509,treatment,0,0,0
510,treatment,0,0,0
511,treatment,0,0,0
512,control,0,0,0
513,treatment,0,1,0
514,treatment,0,0,0
515,control,0,0,0
516,control,0,0,0
517,control,0,0,0
518,treatment,0,0,0
519,treatment,0,0,0
520,control,0,0,0
521,treatment,0,0,0
522,control,0,0,0
523,treatment,1,0,0
524,treatment,0,0,0
525,treatment,0,0,0
526,control,0,0,0
527,control,0,0,0
528,control,0,0,0
529,control,0,0,0
530,treatment,0,0,0
531,treatment,0,0,0
532,treatment,1,0,0
533,treatment,1,0,0
534,treatment,0,0,0
535,treatment,0,1,0
536,treatment,0,1,0
537,treatment,0,1,0
538,control,0,0,0
539,control,0,0,0
540,control,0,0,0
541,treatment,0,0,0
542,treatment,0,0,0
543,control,0,0,0
544,treatment,1,0,1
545,treatment,1,0,0
546,control,0,0,0
547,control,1,0,0
548,treatment,1,0,0
549,treatment,0,0,0
550,treatment,0,0,0
551,treatment,0,0,0
552,treatment,0,0,0
553,treatment,0,0,0
554,treatment,0,1,0
555,treatment,0,0,0
556,control,0,0,0
557,control,0,0,0
558,control,0,0,0
559,treatment,0,0,0
560,treatment,1,0,0
561,treatment,0,0,0
562,control,1,0,0
563,control,0,0,0
564,control,0,0,0
565,control,0,0,0
566,treatment,0,0,0
567,control,0,0,0
568,control,0,0,0
569,treatment,1,0,0
570,control,0,0,0
571,treatment,0,0,0
572,treatment,1,0,0
573,control,0,0,0
574,treatment,0,1,0
575,treatment,1,0,0
576,treatment,1,0,0
577,control,1,0,0
578,treatment,1,0,0
579,control,0,0,0
580,control,0,0,0
581,control,0,0,0
582,treatment,1,0,0
583,control,0,0,0
584,control,0,0,0
585,treatment,0,0,0
586,control,0,0,0
587,control,0,0,0
588,control,0,0,0
589,control,0,1,0
590,control,0,0,0
591,control,0,0,0
592,treatment,0,0,0
593,control,0,0,0
594,control,0,1,0
595,treatment,1,0,0
596,control,0,0,0
597,treatment,0,0,0
598,control,0,0,0
599,control,0,0,0
600,control,0,0,0
601,control,0,0,0
602,control,0,0,0
603,control,0,0,0
604,control,0,0,0
605,control,0,0,0
606,control,0,0,0
607,control,0,0,0
608,control,0,0,0
609,treatment,0,0,0
610,treatment,1,0,0
611,control,0,0,0
612,treatment,1,0,1
613,treatment,0,0,0
614,control,0,1,0
615,treatment,0,0,0
616,treatment,0,0,0
617,control,0,0,0
618,control,0,0,0
619,treatment,0,1,0
620,treatment,0,1,0
621,control,0,0,0
622,control,0,0,0
623,control,0,0,0
624,control,0,0,0
625,treatment,1,0,1
626,control,0,0,0
627,control,0,0,0
628,treatment,0,0,0
629,control,0,1,0
630,control,0,1,0
631,treatment,0,1,0
632,treatment,0,0,0
633,treatment,0,0,0
634,treatment,0,0,0
635,control,0,0,0
636,control,1,0,0
637,treatment,0,0,0
638,control,0,0,0
639,control,0,0,0
640,control,0,0,0
641,control,0,0,0
642,control,0,0,0
643,control,0,0,0
644,control,0,0,0
645,control,0,0,0
646,treatment,0,1,0
647,treatment,1,0,0
648,treatment,1,0,0
649,treatment,1,0,0
650,control,0,0,0
651,control,0,0,0
652,treatment,1,0,0
653,treatment,1,0,0
654,treatment,0,0,0
655,control,0,0,0
656,control,0,0,0
657,control,0,0,0
658,control,0,0,0
659,treatment,0,0,0
660,treatment,0,0,0
661,control,0,0,0
662,treatment,0,0,0
663,treatment,1,0,0
664,control,0,0,0
665,control,0,0,0
666,control,0,0,0
667,control,0,0,0
668,control,0,0,0
669,control,0,0,0
670,control,0,0,0
671,control,0,0,0
672,treatment,0,0,0
673,control,0,0,0
674,treatment,0,0,0
675,control,0,0,0
676,treatment,1,0,0
677,control,0,0,0
678,control,0,0,0
679,treatment,0,0,0
680,treatment,0,0,0
681,treatment,0,0,0
682,control,1,0,0
683,control,0,0,0
684,treatment,0,0,0
685,treatment,0,0,0
686,treatment,0,1,0
687,treatment,0,0,0
688,control,0,0,0
689,treatment,1,0,0
690,control,0,0,0
691,control,0,0,0
692,control,0,0,0
693,treatment,1,0,1
694,control,0,0,0
695,control,0,0,0
696,treatment,1,0,0
697,control,1,0,0
698,treatment,0,0,0
699,control,0,0,0
700,control,0,0,0
701,treatment,0,1,0
702,control,0,0,0
703,control,0,0,0
704,control,1,0,0
705,control,0,0,0
706,treatment,0,0,0
707,control,0,0,0
708,treatment,0,1,0
709,control,0,0,0
710,treatment,0,0,0
711,treatment,0,0,0
712,treatment,0,0,0
713,control,0,0,0
714,control,0,0,0
715,control,1,0,0
716,treatment,0,1,0
717,treatment,0,1,0
718,treatment,0,1,0
719,control,0,0,0
720,treatment,0,1,0
721,treatment,0,0,0
722,control,0,0,0
723,control,0,0,0
724,treatment,1,0,1
725,treatment,0,0,0
726,treatment,0,0,0
727,control,0,0,0
728,treatment,0,0,0
729,control,0,0,0
730,control,0,0,0
731,control,0,0,0
732,treatment,1,0,0
733,treatment,1,0,0
734,treatment,0,0,0
735,control,0,0,0
736,treatment,0,0,0
737,control,0,0,0
738,treatment,0,1,0
739,control,0,0,0
740,control,0,0,0
741,control,0,0,0
742,control,0,0,0
743,treatment,0,0,0
744,treatment,0,0,0
745,control,0,0,0
746,treatment,0,0,0
747,control,0,1,0
748,treatment,1,0,0
749,treatment,0,1,0
750,treatment,0,1,0
751,control,0,1,0
752,treatment,0,1,0
753,treatment,0,0,0
754,control,0,0,0
755,control,0,0,0
756,treatment,0,0,0
757,treatment,0,0,0
758,treatment,1,0,0
759,treatment,0,1,0
760,treatment,0,0,0
761,control,0,0,0
762,control,0,0,0
763,control,0,0,0
764,treatment,0,0,0
765,control,0,0,0
766,treatment,0,0,0
767,treatment,0,0,0
768,treatment,0,1,0
769,control,0,0,0
770,treatment,0,0,0
771,control,0,0,0
772,treatment,0,0,0
773,control,0,0,0
774,control,0,0,0
775,treatment,0,0,0
776,control,0,0,0
777,control,0,0,0
778,treatment,0,1,0
779,treatment,1,0,0
780,treatment,0,0,0
781,treatment,1,0,0
782,treatment,0,0,0
783,control,0,0,0
784,control,0,0,0
785,control,0,0,0
786,treatment,0,0,0
787,treatment,0,0,0
788,control,0,0,0
789,control,0,1,0
790,treatment,0,1,0
791,control,0,0,0
792,treatment,0,0,0
793,treatment,1,0,0
794,treatment,0,0,0
795,control,0,0,0
796,treatment,0,0,0
797,treatment,0,0,0
798,treatment,0,0,0
799,treatment,1,0,1
800,treatment,0,0,0
801,treatment,0,1,0
802,control,0,0,0
803,treatment,0,0,0
804,treatment,1,0,0
805,control,1,0,0
806,treatment,0,0,0
807,treatment,0,0,0
808,treatment,0,0,0
809,control,0,0,0
810,control,0,0,0
811,treatment,0,0,0
812,treatment,1,0,1
813,control,0,0,0
814,treatment,1,0,0
815,treatment,0,0,0
816,treatment,0,0,0
817,treatment,1,0,0
818,control,0,0,0
819,control,0,0,0
820,control,0,0,0
821,treatment,0,0,0
822,control,0,0,0
823,control,1,0,0
824,control,0,1,0
825,treatment,0,1,0
826,treatment,0,1,0
827,control,0,0,0
828,control,0,0,0
829,treatment,1,0,0
830,control,0,0,0
831,control,0,0,0
832,control,0,1,0
833,control,0,0,0
834,control,0,0,0
835,control,0,0,0
836,control,1,0,0
837,treatment,0,0,0
838,control,0,0,0
839,treatment,0,0,0
840,treatment,0,1,0
841,control,0,0,0
842,treatment,0,0,0
843,control,0,0,0
844,treatment,0,1,0
845,control,0,0,0
846,control,0,0,0
847,control,0,0,0
848,treatment,1,0,0
849,treatment,1,0,0
850,treatment,0,0,0
851,control,0,0,0
852,treatment,0,0,0
853,control,0,0,0
854,treatment,1,0,0
855,control,0,0,0
856,control,0,0,0
857,control,0,0,0
858,control,0,0,0
859,treatment,1,0,0
860,control,0,0,0
861,treatment,1,0,0
862,control,0,1,0
863,treatment,0,0,0
864,control,0,0,0
865,control,0,0,0
866,treatment,1,0,1
867,control,0,0,0
868,control,0,0,0
869,treatment,0,1,0
870,treatment,0,0,0
871,control,0,1,0
872,control,0,0,0
873,treatment,0,0,0
874,control,0,0,0
875,control,0,0,0
876,control,0,0,0
877,treatment,0,0,0
878,treatment,0,0,0
879,control,0,0,0
880,control,0,0,0
881,control,0,0,0
882,treatment,0,0,0
883,control,0,0,0
884,control,0,1,0
885,treatment,0,0,0
886,control,0,1,0
887,treatment,0,0,0
888,control,0,0,0
889,control,0,0,0
890,control,0,0,0
891,treatment,1,0,1
892,treatment,0,1,0
893,treatment,1,0,0
894,control,0,0,0
895,treatment,0,0,0
896,control,0,0,0
897,control,0,0,0
898,treatment,0,0,0
899,control,0,0,0
900,control,0,0,0
901,control,0,0,0
902,control,0,0,0
903,control,0,0,0
904,treatment,0,0,0
905,control,0,0,0
906,treatment,0,0,0
907,treatment,0,0,0
908,control,0,0,0
909,control,0,1,0
910,control,0,0,0
911,treatment,0,0,0
912,control,0,0,0
913,treatment,0,0,0
914,control,0,0,0
915,treatment,1,0,0
916,control,0,0,0
917,control,0,0,0
918,treatment,0,1,0
919,treatment,0,1,0
920,control,0,0,0
921,treatment,0,0,0
922,control,0,0,0
923,treatment,0,1,0
924,treatment,0,1,0
925,control,0,0,0
926,control,0,0,0
927,control,0,0,0
928,treatment,0,0,0
929,treatment,0,0,0
930,control,0,0,0
931,control,0,0,0
932,treatment,0,0,0
933,treatment,0,1,0
934,treatment,1,0,0
935,control,0,0,0
936,control,0,0,0
937,control,0,0,0
938,treatment,0,0,0
939,control,0,0,0
940,treatment,0,0,0
941,control,0,1,0
942,treatment,0,0,0
943,treatment,0,0,0
944,treatment,0,0,0
945,control,0,0,0
946,control,0,0,0
947,control,0,0,0
948,treatment,1,0,0
949,treatment,0,0,0
950,treatment,1,0,0
951,treatment,0,0,0
952,treatment,1,0,0
953,control,0,0,0
954,treatment,0,1,0
955,control,0,0,0
956,control,0,0,0
957,treatment,0,1,0
958,control,0,0,0
959,control,0,0,0
960,treatment,1,0,0
961,control,0,0,0
962,treatment,0,0,0
963,control,0,0,0
964,control,0,0,0
965,control,0,0,0
966,control,0,0,0
967,treatment,0,0,0
968,control,0,0,0
969,treatment,0,1,0
970,control,0,0,0
971,treatment,0,1,0
972,treatment,1,0,1
973,treatment,0,0,0
974,control,0,0,0
975,control,0,0,0
976,control,0,1,0
977,treatment,1,0,0
978,control,0,0,0
979,control,0,0,0
980,treatment,0,1,0
981,control,0,0,0
982,treatment,0,0,0
983,control,0,1,0
984,control,0,0,0
985,treatment,0,0,0
986,control,0,0,0
987,treatment,0,0,0
988,control,0,0,0
989,control,0,0,0
990,treatment,0,0,0
991,treatment,0,0,0
992,treatment,0,1,0
993,control,0,0,0
994,treatment,0,1,0
995,control,0,1,0
996,control,0,1,0
997,treatment,1,0,0
998,control,0,0,0
999,treatment,0,0,0
1000,control,0,0,0
1001,control,0,0,0
1002,treatment,0,0,0
1003,treatment,0,0,0
1004,treatment,0,0,0
1005,treatment,0,1,0
1006,treatment,1,0,0
1007,treatment,0,1,0
1008,treatment,1,0,1
1009,control,0,0,0
1010,control,0,0,0
1011,control,0,0,0
1012,treatment,0,1,0
1013,treatment,1,0,0
1014,control,0,0,0
1015,treatment,1,0,0
1016,treatment,1,0,0
1017,control,0,0,0
1018,treatment,1,0,0
1019,treatment,0,0,0
1020,control,1,0,0
1021,treatment,0,0,0
1022,control,0,1,0
1023,treatment,1,0,0
1024,treatment,0,0,0
1025,treatment,0,0,0
1026,control,0,0,0
1027,treatment,0,1,0
1028,treatment,0,1,0
1029,control,0,0,0
1030,treatment,0,0,0
1031,control,0,0,0
1032,treatment,0,0,0
1033,control,0,0,0
1034,control,0,0,0
1035,control,0,0,0
1036,treatment,1,0,0
1037,control,0,1,0
1038,treatment,0,0,0
1039,control,0,1,0
1040,control,0,0,0
1041,treatment,0,0,0
1042,treatment,0,0,0
1043,control,0,0,0
1044,treatment,0,0,0
1045,treatment,0,1,0
1046,treatment,0,0,0
1047,control,0,1,0
1048,control,0,0,0
1049,treatment,0,1,0
1050,control,0,0,0
1051,treatment,0,1,0
1052,treatment,0,0,0
1053,treatment,0,0,0
1054,treatment,1,0,0
1055,treatment,1,0,0
1056,control,0,0,0
1057,treatment,0,0,0
1058,control,0,0,0
1059,control,0,0,0
1060,treatment,0,0,0
1061,treatment,1,0,0
1062,treatment,0,0,0
1063,treatment,1,0,1
1064,control,0,0,0
1065,control,0,0,0
1066,treatment,0,0,0
1067,control,0,0,0
1068,control,0,0,0
1069,control,0,0,0
1070,control,0,1,0
1071,control,0,0,0
1072,control,0,0,0
1073,control,0,0,0
1074,control,0,0,0
1075,treatment,0,0,0
1076,control,0,1,0
1077,control,0,0,0
1078,treatment,0,0,0
1079,control,0,0,0
1080,treatment,1,0,0
1081,treatment,1,0,0
1082,control,0,0,0
1083,control,0,0,0
1084,treatment,0,0,0
1085,treatment,0,0,0
1086,control,0,0,0
1087,treatment,1,0,0
1088,control,0,1,0
1089,treatment,0,0,0
1090,control,0,0,0
1091,treatment,1,0,0
1092,treatment,1,0,0
1093,treatment,0,0,0
1094,treatment,0,1,0
1095,control,0,0,0
1096,control,0,0,0
1097,control,0,0,0
1098,control,0,0,0
1099,treatment,0,0,0
1100,control,1,0,0
1101,control,0,0,0
1102,treatment,1,0,1
1103,treatment,1,0,0
1104,treatment,0,0,0
1105,treatment,0,0,0
1106,control,0,0,0
1107,control,0,0,0
1108,treatment,0,0,0
1109,treatment,0,0,0
1110,control,0,0,0
1111,treatment,0,0,0
1112,control,0,0,0
1113,control,0,0,0
1114,treatment,0,0,0
1115,treatment,0,1,0
1116,treatment,1,0,0
1117,control,0,0,0
1118,treatment,0,0,0
1119,control,0,0,0
1120,control,0,1,0
1121,treatment,0,0,0
1122,treatment,0,0,0
1123,treatment,0,0,0
1124,treatment,0,1,0
1125,treatment,0,1,0
1126,treatment,0,0,0
1127,control,0,0,0
1128,control,0,0,0
1129,control,0,1,0
1130,control,0,0,0
1131,treatment,1,0,1
1132,control,0,1,0
1133,control,0,0,0
1134,control,0,0,0
1135,treatment,0,1,0
1136,control,0,0,0
1137,treatment,0,1,0
1138,control,0,0,0
1139,control,0,1,0
1140,treatment,1,0,0
1141,treatment,1,0,0
1142,control,0,0,0
1143,treatment,0,0,0
1144,treatment,1,0,1
1145,control,0,0,0
1146,treatment,0,0,0
1147,treatment,0,0,0
1148,treatment,0,1,0
1149,treatment,1,0,1
1150,treatment,1,0,0
1151,treatment,0,0,0
1152,treatment,0,0,0
1153,treatment,0,1,0
1154,treatment,0,0,0
1155,treatment,1,0,0
1156,treatment,0,0,0
1157,control,0,0,0
1158,treatment,0,1,0
1159,treatment,0,0,0
1160,control,0,0,0
1161,treatment,0,1,0
1162,control,0,0,0
1163,control,0,0,0
1164,treatment,1,0,0
1165,control,0,0,0
1166,treatment,0,1,0
1167,treatment,0,0,0
1168,treatment,0,1,0
1169,control,0,0,0
1170,control,0,0,0
1171,treatment,1,0,1
1172,treatment,0,0,0
1173,treatment,1,0,0
1174,control,0,0,0
1175,treatment,1,0,0
1176,treatment,0,0,0
1177,treatment,0,0,0
1178,control,1,0,0
1179,treatment,0,0,0
1180,treatment,0,0,0
1181,treatment,0,0,0
1182,control,0,0,0
1183,treatment,1,0,0
1184,treatment,0,0,0
1185,control,0,0,0
1186,treatment,1,0,0
1187,treatment,0,0,0
1188,control,0,0,0
1189,control,0,0,0
1190,treatment,0,0,0
1191,control,0,0,0
1192,treatment,0,0,0
1193,control,0,0,0
1194,treatment,0,1,0
1195,control,0,0,0
1196,treatment,0,0,0
1197,treatment,1,0,0
1198,treatment,0,0,0
1199,treatment,0,0,0
1200,control,0,0,0
1201,treatment,0,1,0
1202,control,0,0,0
1203,control,0,0,0
1204,control,0,0,0
1205,control,0,0,0
1206,treatment,1,0,0
1207,treatment,1,0,1
1208,control,0,0,0
1209,control,0,0,0
1210,treatment,0,1,0
1211,control,0,0,0
1212,control,0,0,0
1213,control,0,0,0
1214,treatment,0,0,0
1215,treatment,1,0,0
1216,control,0,0,0
1217,control,0,0,0
1218,treatment,0,0,0
1219,treatment,0,0,0
1220,control,0,0,0
1221,treatment,0,0,0
1222,control,0,0,0
1223,control,0,0,0
1224,treatment,1,0,0
1225,control,0,0,0
1226,treatment,0,0,0
1227,control,0,0,0
1228,control,0,0,0
1229,treatment,0,0,0
1230,control,0,0,0
1231,treatment,1,0,1
1232,control,0,0,0
1233,control,0,0,0
1234,control,0,0,0
1235,treatment,0,0,0
1236,control,0,1,0
1237,treatment,0,1,0
1238,control,0,0,0
1239,treatment,0,0,0
1240,control,0,0,0
1241,treatment,0,0,0
1242,treatment,1,0,0
1243,treatment,0,1,0
1244,treatment,0,0,0
1245,treatment,0,0,0
